R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_SIG_TD,B_SIG_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_CTRL,B_CTRL,R_LANDED_HEAD,B_LANDED_HEAD,R_LANDED_BODY,B_LANDED_BODY,R_LANDED_LEG,B_LANDED_LEG,R_DISTANCE,B_DISTANCE,R_LANDED_CLINCH,B_LANDED_CLINCH,R_LANDED_GROUND,B_LANDED_GROUND,win_by,Referee,location,Weight_class,Winner,Winner By Corner,title_bout,B_age,R_age,B_Stance,R_Stance,B_Height_cms,R_Height_cms,B_current_win_streak,R_current_win_streak,R_TOTAL_TD,B_TOTAL_TD,R_ATT_HEAD,B_ATT_HEAD,R_ATT_BODY,B_ATT_BODY,R_ATT_LEG,B_ATT_LEG,R_ATT_CLINCH,B_ATT_CLINCH,R_ATT_GROUND,B_ATT_GROUND,Day,Month,Year
Adrian Yanez,Gustavo Lopez,2,0,41,23,39,45,103,51,0,0,0,0,0,0,3,0,32,14,8,5,1,4,102,51,0,0,0,0,KO/TKO,Chris Tognoni,"Las Vegas, Nevada, USA",Bantamweight Bout,Adrian Yanez,Red,False,31,27,Orthodox,Orthodox,165.1,170.18,0,1,0,1,83,40,19,7,1,4,0,0,1,0,20,March,2021
Trevin Giles,Roman Dolidze,0,0,27,32,47,47,73,110,1,1,50,33,1,2,75,255,22,10,4,7,1,15,42,59,4,3,8,1,Decision - Unanimous,Herb Dean,"Las Vegas, Nevada, USA",Middleweight Bout,Trevin Giles,Red,False,32,28,Orthodox,Orthodox,187.96,182.88,2,2,2,3,51,37,4,14,2,16,5,6,10,2,20,March,2021
Tai Tuivasa,Harry Hunsucker,1,0,14,2,77,33,18,6,0,0,0,0,0,0,10,0,10,1,0,0,4,1,10,6,0,0,5,0,KO/TKO,Herb Dean,"Las Vegas, Nevada, USA",Heavyweight Bout,Tai Tuivasa,Red,False,32,28,Orthodox,Southpaw,187.96,187.96,0,3,0,0,14,5,0,0,4,1,0,0,8,0,20,March,2021
Cheyanne Buys,Montserrat Conejo,0,0,31,15,47,36,87,168,0,4,0,80,0,2,64,593,26,10,5,0,0,5,56,41,2,0,3,0,Decision - Unanimous,Mark Smith,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Montserrat Conejo,Blue,False,28,25,Southpaw,Switch,152.4,160.02,0,0,0,5,60,35,5,1,0,5,2,0,7,0,20,March,2021
Marion Reneau,Macy Chiasson,0,0,30,51,47,36,93,184,2,1,50,100,0,0,135,228,14,29,7,15,9,7,54,119,5,13,0,2,Decision - Unanimous,Mark Smith,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Macy Chiasson,Blue,False,29,43,Orthodox,Orthodox,180.34,167.64,3,2,4,1,40,110,13,20,10,8,9,15,0,4,20,March,2021
Leonardo Santos,Grant Dawson,0,0,30,46,44,54,115,132,1,1,50,7,0,0,81,498,14,16,6,23,10,7,65,68,2,9,0,4,KO/TKO,Chris Tognoni,"Las Vegas, Nevada, USA",Lightweight Bout,Grant Dawson,Blue,False,27,41,Switch,Orthodox,177.8,182.88,4,1,2,13,45,48,10,27,12,9,2,11,0,5,20,March,2021
Song Kenan,Max Griffin,0,1,14,17,58,60,24,28,0,0,0,0,0,0,0,28,5,11,5,2,4,4,24,27,0,0,0,1,KO/TKO,Keith Peterson,"Las Vegas, Nevada, USA",Welterweight Bout,Max Griffin,Blue,False,35,31,Orthodox,Orthodox,180.34,182.88,0,2,0,1,10,17,8,7,6,4,0,0,0,1,20,March,2021
Derek Brunson,Kevin Holland,0,0,43,36,46,48,323,236,6,1,50,100,1,0,1015,107,28,28,7,2,8,6,43,64,10,5,19,2,Decision - Unanimous,Herb Dean,"Las Vegas, Nevada, USA",Middleweight Bout,Derek Brunson,Red,False,28,37,Orthodox,Southpaw,190.5,185.42,0,2,12,1,74,64,10,4,9,6,10,7,40,3,20,March,2021
Montel Jackson,Jesse Strader,2,0,15,14,57,56,26,25,0,0,0,0,0,0,16,1,11,3,2,3,2,8,12,22,3,0,7,2,KO/TKO,Keith Peterson,"Las Vegas, Nevada, USA",Bantamweight Bout,Montel Jackson,Red,False,29,28,Orthodox,Southpaw,170.18,177.8,0,0,0,0,22,7,2,7,2,11,4,1,10,2,20,March,2021
Bruno Silva,JP Buys,3,0,37,17,60,30,89,76,1,0,50,0,0,1,231,62,29,8,4,4,4,5,43,53,1,2,10,0,KO/TKO,Mark Smith,"Las Vegas, Nevada, USA",Flyweight Bout,Bruno Silva,Red,False,24,31,Unknown,Unknown,165.1,182.88,0,0,2,1,51,42,6,7,4,7,2,3,16,0,20,March,2021
Manel Kape,Matheus Nicolau,0,0,61,55,40,53,165,132,0,2,0,22,0,1,38,151,37,27,10,21,14,7,145,96,1,2,2,3,Decision - Split,Unknown,"Las Vegas, Nevada, USA",Flyweight Bout,Matheus Nicolau,Blue,False,28,27,Orthodox,Southpaw,167.64,165.1,3,0,0,9,120,66,16,26,14,10,2,2,3,4,13,March,2021
Misha Cirkunov,Ryan Spann,0,1,5,16,27,55,18,29,0,0,0,0,0,0,0,13,5,14,0,2,0,0,18,13,0,0,0,12,KO/TKO,Mark Smith,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Ryan Spann,Blue,False,29,34,Orthodox,Orthodox,195.58,190.5,4,4,0,0,18,27,0,2,0,0,0,0,0,16,13,March,2021
Leon Edwards,Belal Muhammad,0,0,19,8,48,30,40,32,0,0,0,0,0,0,19,33,10,7,5,1,4,0,38,23,0,2,0,0,Could Not Continue,Herb Dean,"Las Vegas, Nevada, USA",Welterweight Bout,Draw,Draw,False,32,29,Orthodox,Southpaw,180.34,187.96,0,0,1,0,29,23,6,3,4,0,1,3,0,0,13,March,2021
Charles Jourdain,Marcelo Rojo,2,0,106,74,48,36,248,211,0,1,0,50,0,0,177,28,68,25,21,22,17,27,163,187,14,11,19,0,KO/TKO,Mark Smith,"Las Vegas, Nevada, USA",Featherweight Bout,Charles Jourdain,Red,False,32,25,Orthodox,Switch,172.72,175.26,0,0,1,2,167,146,35,29,18,29,18,17,39,0,13,March,2021
Eryk Anders,Darren Stewart,1,0,43,15,68,35,79,51,3,0,42,0,0,0,155,0,38,7,3,2,2,6,32,38,11,4,15,0,Could Not Continue,Herb Dean,"Las Vegas, Nevada, USA",Middleweight Bout,Draw,Draw,False,30,33,Orthodox,Southpaw,182.88,185.42,0,2,7,0,57,32,3,2,3,8,14,4,17,0,13,March,2021
Angela Hill,Ashley Yoder,0,0,77,34,57,29,165,143,1,2,33,33,0,0,232,159,26,17,35,11,16,6,98,115,29,0,1,0,Decision - Unanimous,Mike Beltran,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Angela Hill,Red,False,33,36,Southpaw,Orthodox,170.18,160.02,0,1,3,6,63,85,54,21,18,10,33,1,4,0,13,March,2021
Jonathan Martinez,Davey Grant,1,1,29,48,40,43,71,111,0,0,0,0,0,0,25,3,16,14,5,19,8,15,66,108,0,0,3,2,KO/TKO,Chris Tognoni,"Las Vegas, Nevada, USA",Bantamweight Bout,Davey Grant,Blue,False,35,26,Orthodox,Southpaw,172.72,172.72,0,0,0,1,57,64,6,30,8,16,0,0,5,2,13,March,2021
Dan Ige,Gavin Tucker,1,0,1,1,25,100,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,1,0,0,0,0,KO/TKO,Mike Beltran,"Las Vegas, Nevada, USA",Featherweight Bout,Dan Ige,Red,False,34,29,Southpaw,Orthodox,167.64,170.18,1,0,0,0,4,0,0,0,0,1,0,0,0,0,13,March,2021
Nasrat Haqparast,Rafa Garcia,0,0,99,52,45,23,218,219,0,0,0,0,0,0,0,21,60,32,38,15,1,5,217,211,0,4,0,0,Decision - Unanimous,Chris Tognoni,"Las Vegas, Nevada, USA",Lightweight Bout,Nasrat Haqparast,Red,False,26,25,Orthodox,Southpaw,170.18,177.8,0,0,2,3,170,186,45,24,2,7,0,6,0,0,13,March,2021
Cortney Casey,JJ Aldrich,0,0,55,45,41,56,202,99,0,4,0,57,0,0,2,344,35,41,9,4,11,0,114,64,10,4,0,5,Decision - Split,Mark Smith,"Las Vegas, Nevada, USA",Women's Flyweight Bout,JJ Aldrich,Blue,False,28,33,Southpaw,Orthodox,165.1,170.18,0,0,1,7,107,74,12,6,12,0,17,7,0,9,13,March,2021
Matthew Semelsberger,Jason Witt,1,0,3,4,60,100,5,4,0,0,0,0,0,0,2,0,2,2,0,0,1,2,2,4,0,0,1,0,KO/TKO,Chris Tognoni,"Las Vegas, Nevada, USA",Welterweight Bout,Matthew Semelsberger,Red,False,34,28,Orthodox,Switch,177.8,185.42,0,1,0,0,4,2,0,0,1,2,0,0,3,0,13,March,2021
Rani Yahya,Ray Rodriguez,0,0,8,3,61,16,65,35,2,0,50,0,1,0,420,0,0,2,1,1,7,0,13,18,0,0,0,0,Submission,Herb Dean,"Las Vegas, Nevada, USA",Bantamweight Bout,Rani Yahya,Red,False,33,36,Orthodox,Orthodox,170.18,167.64,0,1,4,0,3,16,2,2,8,0,0,0,0,0,13,March,2021
Gloria de Paula,Jinh Yu Frey,0,0,31,24,49,30,95,125,0,2,0,66,0,2,5,573,18,10,7,3,6,11,59,70,4,1,0,6,Decision - Unanimous,Mike Beltran,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Jinh Yu Frey,Blue,False,35,25,Southpaw,Orthodox,160.02,165.1,0,0,0,3,48,62,9,5,6,12,4,1,0,8,13,March,2021
Dominick Cruz,Casey Kenney,0,0,89,74,44,38,229,193,2,0,22,0,0,0,127,26,51,41,24,10,14,23,197,191,4,2,0,0,Decision - Split,Jason Herzog,"Las Vegas, Nevada, USA",Bantamweight Bout,Dominick Cruz,Red,False,29,35,Southpaw,Orthodox,170.18,172.72,2,5,9,2,151,148,35,19,16,26,4,2,1,0,6,March,2021
Song Yadong,Kyler Phillips,0,0,67,59,41,41,189,152,0,3,0,60,0,0,66,96,39,38,20,16,8,5,158,137,0,2,0,3,Decision - Unanimous,Mark Smith,"Las Vegas, Nevada, USA",Bantamweight Bout,Kyler Phillips,Blue,False,25,23,Orthodox,Orthodox,172.72,172.72,2,4,0,5,120,112,32,23,9,7,1,2,2,3,6,March,2021
Petr Yan,Aljamain Sterling,1,0,86,97,62,42,157,260,7,1,100,5,0,0,252,205,48,40,21,43,17,14,106,207,12,13,10,5,DQ,Mark Smith,"Las Vegas, Nevada, USA",UFC Bantamweight Title Bout,Aljamain Sterling,Blue,True,31,28,Orthodox,Switch,170.18,170.18,4,7,7,17,96,154,24,60,17,16,18,14,13,9,6,March,2021
Jan Blachowicz,Israel Adesanya,0,0,107,78,55,48,276,182,3,0,60,0,0,0,426,1,67,32,29,17,11,29,169,158,6,0,16,1,Decision - Unanimous,Herb Dean,"Las Vegas, Nevada, USA",UFC Light Heavyweight Title Bout,Jan Blachowicz,Red,True,31,38,Switch,Orthodox,193.04,187.96,9,1,5,0,146,102,33,23,14,36,6,1,18,2,6,March,2021
Thiago Santos,Aleksandar Rakic,0,0,49,36,50,40,109,103,0,0,0,0,0,0,0,152,10,8,23,13,16,15,82,82,14,7,0,0,Decision - Unanimous,Herb Dean,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Aleksandar Rakic,Blue,False,29,37,Orthodox,Orthodox,193.04,187.96,4,0,1,2,41,47,33,16,23,26,15,7,0,0,6,March,2021
Joseph Benavidez,Askar Askarov,0,0,46,58,40,65,130,107,0,5,0,83,0,0,0,300,13,39,21,14,12,5,108,77,4,4,1,4,Decision - Unanimous,Jason Herzog,"Las Vegas, Nevada, USA",Flyweight Bout,Askar Askarov,Blue,False,28,36,Orthodox,Southpaw,167.64,162.56,0,3,0,6,57,65,41,18,16,5,5,5,1,6,6,March,2021
Amanda Nunes,Megan Anderson,0,0,18,2,72,40,26,5,0,0,0,0,2,0,42,0,15,0,0,1,3,1,16,5,0,0,8,0,Submission,Jason Herzog,"Las Vegas, Nevada, USA",UFC Women's Featherweight Title Bout,Amanda Nunes,Red,True,31,32,Orthodox,Orthodox,182.88,172.72,0,2,0,1,22,3,0,1,3,1,0,0,9,0,6,March,2021
Islam Makhachev,Drew Dober,0,0,15,10,60,50,119,24,3,0,75,0,2,0,566,12,12,5,2,3,1,2,14,14,1,1,9,3,Submission,Chris Tognoni,"Las Vegas, Nevada, USA",Lightweight Bout,Islam Makhachev,Red,False,32,29,Southpaw,Southpaw,172.72,177.8,0,1,4,0,22,15,2,3,1,2,1,1,10,5,6,March,2021
Tim Elliott,Jordan Espinosa,0,0,25,13,56,52,120,35,4,0,57,0,0,0,799,0,14,7,10,4,1,2,17,15,6,4,15,3,Decision - Unanimous,Mark Smith,"Las Vegas, Nevada, USA",Flyweight Bout,Tim Elliott,Red,False,31,34,Orthodox,Southpaw,167.64,170.18,1,0,7,0,27,18,14,4,3,3,9,5,18,5,6,March,2021
Livinha Souza,Amanda Lemos,0,2,1,29,14,63,7,47,0,0,0,0,0,0,0,73,0,22,0,3,1,4,7,22,0,0,0,17,KO/TKO,Jason Herzog,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Amanda Lemos,Blue,False,33,29,Southpaw,Orthodox,162.56,160.02,0,2,0,0,4,37,1,5,2,4,0,0,0,24,6,March,2021
Rogerio Bontorin,Kai Kara-France,0,1,6,13,35,59,43,32,1,0,100,0,2,0,195,1,5,8,1,2,0,3,16,20,0,2,1,0,KO/TKO,Herb Dean,"Las Vegas, Nevada, USA",Flyweight Bout,Kai Kara-France,Blue,False,27,28,Orthodox,Orthodox,162.56,165.1,3,2,1,0,16,17,1,2,0,3,0,2,1,0,6,March,2021
Uros Medic,Aalon Cruz,1,0,45,0,71,0,74,3,0,0,0,0,0,0,56,11,43,0,1,0,1,0,8,3,3,0,35,0,KO/TKO,Mark Smith,"Las Vegas, Nevada, USA",Lightweight Bout,Uros Medic,Red,False,31,27,Switch,Southpaw,182.88,185.42,0,0,0,2,61,2,1,1,1,0,3,0,52,0,6,March,2021
Kennedy Nzechukwu,Carlos Ulberg,1,0,82,146,55,64,150,227,0,0,0,0,0,0,5,5,81,101,1,31,0,14,132,210,3,14,7,0,KO/TKO,Herb Dean,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Kennedy Nzechukwu,Red,False,30,28,Orthodox,Southpaw,193.04,195.58,0,0,1,0,144,175,4,37,0,15,8,17,8,0,6,March,2021
Sean Brady,Jake Matthews,0,0,37,21,54,25,187,95,1,0,100,0,1,0,488,4,23,17,1,3,13,1,49,82,0,0,16,2,Submission,Chris Tognoni,"Las Vegas, Nevada, USA",Welterweight Bout,Sean Brady,Red,False,26,28,Orthodox,Orthodox,180.34,177.8,2,3,1,0,52,76,1,7,15,1,0,0,19,2,6,March,2021
Mario Bautista,Trevin Jones,0,1,21,23,50,76,64,44,0,0,0,0,0,0,9,86,11,11,6,1,4,11,35,22,5,2,0,4,KO/TKO,Chris Tognoni,"Las Vegas, Nevada, USA",Bantamweight Bout,Trevin Jones,Blue,False,30,27,Southpaw,Switch,170.18,175.26,0,0,0,3,27,18,11,1,4,11,7,2,0,6,6,March,2021
Jairzinho Rozenstruik,Ciryl Gane,0,0,42,102,40,57,111,202,0,2,0,14,0,0,0,269,14,33,5,23,23,46,97,172,4,3,0,1,Decision - Unanimous,Herb Dean,"Las Vegas, Nevada, USA",Heavyweight Bout,Ciryl Gane,Blue,False,30,32,Orthodox,Orthodox,193.04,193.04,4,4,0,14,69,83,6,32,29,61,7,3,0,1,27,February,2021
Montana De La Rosa,Mayra Bueno Silva,0,0,30,52,41,65,156,142,3,0,25,0,0,1,552,64,19,28,11,22,0,2,63,40,5,29,2,3,Decision - Majority,Jerin Valel,"Las Vegas, Nevada, USA",Women's Flyweight Bout,Draw,Draw,False,29,26,Orthodox,Orthodox,167.64,170.18,1,3,12,0,56,53,16,23,0,4,6,36,3,4,27,February,2021
Vince Cachero,Ronnie Lawrence,0,0,15,77,32,63,55,151,0,8,0,88,1,0,36,469,8,53,3,14,4,10,38,46,5,5,0,50,KO/TKO,Jerin Valel,"Las Vegas, Nevada, USA",Bantamweight Bout,Ronnie Lawrence,Blue,False,28,31,Switch,Orthodox,172.72,167.64,0,0,2,9,36,89,6,19,4,13,7,7,1,68,27,February,2021
Alexander Hernandez,Thiago Moises,0,0,50,53,24,28,205,183,0,0,0,0,0,0,0,0,15,36,18,5,17,12,204,183,0,0,0,0,Decision - Unanimous,Mark Smith,"Las Vegas, Nevada, USA",Lightweight Bout,Thiago Moises,Blue,False,25,28,Orthodox,Orthodox,175.26,175.26,0,2,0,1,152,155,33,11,20,17,1,0,0,0,27,February,2021
Pedro Munhoz,Jimmie Rivera,0,0,94,65,48,33,194,193,0,1,0,20,0,0,3,4,35,48,19,4,40,13,193,193,1,0,0,0,Decision - Unanimous,Herb Dean,"Las Vegas, Nevada, USA",Bantamweight Bout,Pedro Munhoz,Red,False,31,34,Orthodox,Orthodox,162.56,167.64,5,0,0,5,115,168,27,8,52,17,1,0,0,0,27,February,2021
Alex Caceres,Kevin Croom,0,0,48,16,70,31,121,67,1,1,100,6,1,0,224,452,33,10,11,1,4,5,46,46,12,2,6,0,Decision - Unanimous,Chris Tognoni,"Las Vegas, Nevada, USA",Featherweight Bout,Alex Caceres,Red,False,33,32,Orthodox,Southpaw,180.34,177.8,0,0,1,16,49,44,13,2,6,5,14,5,8,0,27,February,2021
Alexis Davis,Sabina Mazo,0,0,49,64,59,38,196,173,3,0,100,0,0,0,530,0,8,50,4,5,37,9,78,165,0,0,3,0,Decision - Unanimous,Chris Tognoni,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Alexis Davis,Red,False,23,36,Orthodox,Orthodox,170.18,167.64,0,3,3,1,37,149,5,7,41,9,0,0,5,0,27,February,2021
Nikita Krylov,Magomed Ankalaev,0,0,47,43,39,46,132,143,1,3,16,33,0,0,104,359,18,37,22,4,7,2,116,76,2,2,0,12,Decision - Unanimous,Mark Smith,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Magomed Ankalaev,Blue,False,28,28,Orthodox,Orthodox,190.5,190.5,0,0,6,9,78,83,34,7,8,2,4,2,0,14,27,February,2021
Dustin Jacoby,Maxim Grishin,0,2,57,66,41,42,141,172,0,0,0,0,0,0,48,76,25,31,7,8,25,27,133,144,2,2,0,5,Decision - Unanimous,Chris Tognoni,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Dustin Jacoby,Red,False,36,32,Orthodox,Orthodox,190.5,190.5,0,0,0,2,88,110,15,16,34,30,4,5,0,7,27,February,2021
Aleksei Oleinik,Chris Daukaus,0,0,5,34,50,60,11,56,0,0,0,0,0,0,24,19,3,32,1,2,1,0,10,49,0,2,0,4,KO/TKO,Herb Dean,"Las Vegas, Nevada, USA",Heavyweight Bout,Chris Daukaus,Blue,False,31,43,Orthodox,Orthodox,190.5,187.96,2,2,1,0,8,54,1,2,1,0,0,3,0,4,20,February,2021
Charles Rosa,Darrick Minner,0,1,15,45,60,75,51,117,0,4,0,80,2,3,0,754,9,35,4,5,2,5,17,31,0,5,7,19,Decision - Unanimous,Mark Smith,"Las Vegas, Nevada, USA",Featherweight Bout,Darrick Minner,Blue,False,30,34,Orthodox,Switch,170.18,175.26,0,0,1,5,17,49,4,5,4,6,0,7,8,22,20,February,2021
Phil Hawes,Nassourdine Imavov,0,0,31,57,57,61,128,124,4,0,57,0,0,0,666,7,13,39,7,14,11,4,42,62,7,27,1,1,Decision - Majority,Chris Tognoni,"Las Vegas, Nevada, USA",Middleweight Bout,Phil Hawes,Red,False,25,32,Orthodox,Orthodox,190.5,182.88,1,1,7,0,31,71,9,17,14,5,11,30,1,1,20,February,2021
Curtis Blaydes,Derrick Lewis,0,1,28,7,53,30,52,23,0,0,0,0,0,0,15,0,18,6,3,1,7,0,47,20,3,1,0,2,KO/TKO,Herb Dean,"Las Vegas, Nevada, USA",Heavyweight Bout,Derrick Lewis,Blue,False,36,30,Orthodox,Orthodox,190.5,193.04,2,0,3,0,42,21,3,2,7,0,5,1,0,2,20,February,2021
Eddie Wineland,John Castaneda,0,1,17,42,25,73,66,59,1,0,100,0,0,0,12,4,10,23,3,4,4,15,63,49,0,2,1,6,KO/TKO,Jason Herzog,"Las Vegas, Nevada, USA",Bantamweight Bout,John Castaneda,Blue,False,29,36,Switch,Orthodox,167.64,170.18,0,0,1,0,50,34,6,7,10,16,0,2,3,6,20,February,2021
Andrei Arlovski,Tom Aspinall,0,0,20,37,36,61,57,64,0,1,0,100,0,1,0,137,8,22,7,6,5,9,49,40,3,13,0,0,Submission,Mark Smith,"Las Vegas, Nevada, USA",Heavyweight Bout,Tom Aspinall,Blue,False,27,42,Orthodox,Orthodox,195.58,190.5,2,1,0,1,40,44,9,7,6,9,6,20,0,0,20,February,2021
Jared Gordon,Danny Chavez,0,0,82,39,62,34,191,116,2,1,28,100,0,0,367,10,41,23,19,5,22,11,110,112,6,1,9,0,Decision - Unanimous,Herb Dean,"Las Vegas, Nevada, USA",Featherweight Bout,Jared Gordon,Red,False,33,32,Orthodox,Orthodox,172.72,175.26,1,2,7,1,89,91,20,8,22,14,8,1,13,0,20,February,2021
Ketlen Vieira,Yana Kunitskaya,0,0,7,47,43,78,51,247,3,0,37,0,0,0,518,309,3,7,3,30,1,10,11,11,4,21,0,18,Decision - Unanimous,Jason Herzog,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Yana Kunitskaya,Blue,False,31,29,Orthodox,Orthodox,167.64,172.72,0,4,8,0,10,15,4,35,2,10,5,24,0,25,20,February,2021
Aiemann Zahabi,Drako Rodriguez,1,0,9,11,81,33,11,35,0,0,0,0,0,0,10,0,8,6,1,1,0,4,7,30,1,3,2,0,KO/TKO,Mark Smith,"Las Vegas, Nevada, USA",Bantamweight Bout,Aiemann Zahabi,Red,False,24,33,Orthodox,Orthodox,172.72,172.72,0,1,0,0,10,27,1,2,0,4,2,3,2,0,20,February,2021
Serghei Spivac,Jared Vanderaa,0,0,51,13,70,54,135,38,3,0,100,0,0,0,509,0,51,8,0,3,0,2,17,22,0,2,44,0,KO/TKO,Chris Tognoni,"Las Vegas, Nevada, USA",Heavyweight Bout,Serghei Spivac,Red,False,28,26,Orthodox,Orthodox,193.04,190.5,0,0,3,0,72,19,0,3,0,2,0,2,55,0,20,February,2021
Nate Landwehr,Julian Erosa,0,1,9,15,64,65,14,25,0,0,0,0,0,0,0,1,5,11,1,2,3,2,11,17,3,2,0,1,KO/TKO,Mark Smith,"Las Vegas, Nevada, USA",Featherweight Bout,Julian Erosa,Blue,False,31,32,Southpaw,Orthodox,185.42,175.26,1,0,0,0,9,18,1,3,4,2,3,5,0,1,20,February,2021
Shana Dobson,Casey O'Neill,0,0,16,49,57,72,42,183,0,4,0,66,0,1,13,446,9,44,5,3,2,2,20,24,3,1,2,31,KO/TKO,Chris Tognoni,"Las Vegas, Nevada, USA",Women's Flyweight Bout,Casey O'Neill,Blue,False,23,31,Unknown,Unknown,167.64,167.64,0,1,0,6,21,62,5,4,2,2,4,1,4,43,20,February,2021
Maycee Barber,Alexa Grasso,0,0,40,38,26,46,165,162,3,0,60,0,0,1,194,310,23,24,14,9,3,5,119,61,20,13,2,0,Decision - Unanimous,Keith Peterson,"Las Vegas, Nevada, USA",Women's Flyweight Bout,Alexa Grasso,Blue,False,27,22,Orthodox,Switch,165.1,165.1,1,3,5,0,130,57,18,14,4,10,31,20,2,0,13,February,2021
Belal Muhammad,Dhiego Lima,0,0,129,69,48,33,284,206,1,0,10,0,0,0,162,0,109,26,20,17,0,26,248,203,11,0,0,0,Decision - Unanimous,Herb Dean,"Las Vegas, Nevada, USA",Welterweight Bout,Belal Muhammad,Red,False,32,32,Orthodox,Orthodox,187.96,180.34,0,0,10,1,232,156,31,19,1,28,16,0,0,0,13,February,2021
Maki Pitolo,Julian Marquez,0,0,32,41,49,41,110,129,5,0,45,0,1,4,547,114,16,37,12,3,4,1,52,72,7,15,3,8,Submission,Mark Smith,"Las Vegas, Nevada, USA",Middleweight Bout,Julian Marquez,Blue,False,30,30,Orthodox,Orthodox,187.96,177.8,1,0,11,1,46,94,14,4,5,2,8,16,5,12,13,February,2021
Kamaru Usman,Gilbert Burns,2,0,83,45,61,41,149,124,0,0,0,0,0,0,125,0,56,18,11,13,16,14,100,104,3,1,26,0,KO/TKO,Herb Dean,"Las Vegas, Nevada, USA",UFC Welterweight Title Bout,Kamaru Usman,Red,True,34,33,Orthodox,Switch,177.8,182.88,3,12,0,3,105,75,15,14,16,19,4,4,32,0,13,February,2021
Ricky Simon,Brian Kelleher,0,0,45,19,45,26,136,83,6,0,66,0,1,0,494,12,25,7,3,4,17,8,74,72,6,1,10,0,Decision - Unanimous,Keith Peterson,"Las Vegas, Nevada, USA",Featherweight Bout,Ricky Simon,Red,False,34,28,Switch,Orthodox,167.64,167.64,1,3,9,0,73,56,4,8,21,9,9,1,15,0,13,February,2021
Kelvin Gastelum,Ian Heinisch,0,0,38,27,45,40,115,107,6,1,42,16,0,2,410,71,20,10,10,6,8,11,69,64,8,0,2,1,Decision - Unanimous,Mark Smith,"Las Vegas, Nevada, USA",Middleweight Bout,Kelvin Gastelum,Red,False,32,29,Orthodox,Southpaw,180.34,175.26,2,5,14,6,62,42,13,11,9,14,11,0,4,3,13,February,2021
Polyana Viana,Mallory Martin,0,0,4,5,25,71,89,19,0,1,0,100,5,0,18,145,0,1,3,4,1,0,16,7,0,0,0,0,Submission,Mark Smith,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Polyana Viana,Red,False,27,28,Orthodox,Orthodox,162.56,165.1,0,1,0,1,12,3,3,4,1,0,0,0,0,0,13,February,2021
Rodolfo Vieira,Anthony Hernandez,0,0,9,32,34,64,32,73,4,0,40,0,0,2,240,85,9,28,0,4,0,0,21,46,2,4,0,0,Submission,Keith Peterson,"Las Vegas, Nevada, USA",Middleweight Bout,Anthony Hernandez,Blue,False,27,31,Orthodox,Orthodox,182.88,182.88,0,2,10,0,26,45,0,5,0,0,2,4,3,0,13,February,2021
Gabe Green,Philip Rowe,2,0,70,42,46,48,213,93,2,2,100,33,1,0,193,343,36,25,15,8,19,9,126,84,4,1,15,1,Decision - Unanimous,Mark Smith,"Las Vegas, Nevada, USA",Welterweight Bout,Gabe Green,Red,False,30,27,Orthodox,Switch,190.5,177.8,0,0,2,6,112,67,20,10,20,9,7,1,19,1,13,February,2021
Andre Ewell,Chris Gutierrez,0,1,59,69,49,54,124,131,1,1,100,100,1,0,9,71,15,23,28,14,16,32,119,116,0,8,0,0,Decision - Unanimous,Chris Tognoni,"Las Vegas, Nevada, USA",Catch Weight Bout,Chris Gutierrez,Blue,False,29,33,Orthodox,Southpaw,175.26,172.72,0,1,1,1,56,59,40,21,24,46,0,10,1,0,13,February,2021
Alexandre Pantoja,Manel Kape,0,0,74,49,49,53,152,94,0,2,0,28,0,0,24,25,27,36,26,8,21,5,146,91,1,0,1,0,Decision - Unanimous,Keith Peterson,"Las Vegas, Nevada, USA",Flyweight Bout,Alexandre Pantoja,Red,False,27,30,Southpaw,Orthodox,165.1,165.1,0,2,1,7,83,76,38,8,28,7,1,0,2,0,6,February,2021
Karol Rosa,Joselyne Edwards,0,0,57,38,67,64,175,97,4,1,66,33,0,0,673,2,33,22,9,4,15,12,46,51,11,3,19,4,Decision - Unanimous,Mark Smith,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Karol Rosa,Red,False,25,26,Orthodox,Orthodox,172.72,165.1,1,2,6,3,55,36,10,8,19,15,14,3,24,5,6,February,2021
